id;consent_id;description;indication_benefits;complications;alternatives
1;7773;Engineer Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models
2;58116;District Unbranded;EXE Rustic Steel Shirt drive;Ways Liaison engage;disintermediate Assistant generating
3;83832;Bypass;Plastic Movies;SMS;Zimbabwe parse Customer
4;58514;capacitor program enhance;Falls;User-friendly;Savings Account
5;22864;El Salvador Colon US Dollar Checking Account global;Baby;Kyrgyz Republic transmit;solution connecting
6;96797;Refined redundant;Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
7;58991;mesh partnerships;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing
8;76891;Practical Steel Chips;Berkshire concept;Illinois robust;Granite Rubber
9;15190;Metal deposit;Rupiah;Human Mission;Officer Savings Account Automated
10;82179;B2B;Chair Awesome;Kiribati;cyan innovative
