id;is_verified;verified_by;verified_time
1;false;encompassing customized;2019-11-28T19:47:02
2;true;Grass-roots Cambridgeshire;2019-11-29T03:21:27
3;true;Adaptive Intelligent Pants;2019-11-29T05:22:58
4;false;hacking;2019-11-29T09:10:35
5;false;Car Internal Small;2019-11-28T22:41:52
6;false;Rand Namibia Dollar Executive;2019-11-28T13:46:03
7;false;Agent TCP;2019-11-28T15:40:35
8;true;Bedfordshire;2019-11-28T17:56:11
9;true;Assurance Nebraska Mississippi;2019-11-29T04:33:59
10;true;mint green Director system;2019-11-29T06:29:52
